Players,PER_2019,PER_2020,PER_2021,PER_2022
James Harden,1.2739726027397258,,1.005376344086021,0.9809782608695652
Bradley Beal,1.0833333333333333,1.08659217877095,,
Damian Lillard,1.088,1.0810055865921788,,1.162534435261708
Trae Young,1.118980169971672,1.0534124629080115,1.1146131805157593,1.0488505747126438
Giannis Antetokounmpo,1.5460526315789471,1.3333333333333337,1.4133738601823709,1.442367601246106
Luka Doncic,1.306547619047619,1.209912536443149,1.231638418079096,1.3066298342541434
Russell Westbrook,1.105849582172702,1.1675824175824177,0.8892128279883383,
Kawhi Leonard,1.1975308641975309,1.0703812316715542,,
Devin Booker,0.9610027855153204,0.943952802359882,1.03768115942029,
Anthony Davis,1.1598837209302324,,,
Zach LaVine,0.9511494252873564,1.0,0.9164265129682996,0.8913649025069639
LeBron James,1.1907514450867052,,,
Donovan Mitchell,0.9096209912536444,1.0329341317365268,1.0088757396449706,1.0111731843575418
Brandon Ingram,0.9646017699115044,0.9446064139941692,,
Jayson Tatum,0.9737609329446064,1.036312849162011,1.0584958217270195,1.1490514905149056
D'Angelo Russell,0.9752321981424152,,0.853125,
Pascal Siakam,0.943181818181818,0.9106145251396652,0.9445910290237468,0.9839572192513368
CJ McCollum,0.8356164383561644,,0.8988439306358382,0.8470254957507083
DeMar DeRozan,0.9413489736070384,0.946587537091988,1.0166204986149583,0.9337016574585636
Andrew Wiggins,0.872093023255814,0.7807807807807807,0.755485893416928,
De'Aaron Fox,0.959375,0.9943019943019944,0.8923512747875353,1.020958083832335
Khris Middleton,1.0100334448160535,0.9101796407185628,0.910493827160494,
Collin Sexton,0.7757575757575759,0.8583569405099152,,
Spencer Dinwiddie,0.932692307692308,,,
Kemba Walker,0.909967845659164,,,
Kristaps Porzingis,1.0314465408805031,,,1.0613496932515336
Jaylen Brown,0.8289085545722715,0.96231884057971,0.949404761904762,0.9916434540389976
Bojan Bogdanovic,0.7401812688821753,0.7045454545454546,0.737864077669903,0.8224299065420563
Jimmy Butler,0.9674556213017752,1.0654761904761902,,1.035928143712575
Nikola Jokic,1.10625,1.283236994219653,1.4149253731343283,1.320474777448071
T.J. Warren,0.7872340425531915,,,
Tobias Harris,0.8629737609329448,0.916923076923077,0.7787356321839082,
Nikola Vucevic,1.0683229813664594,1.155223880597015,0.9637462235649544,
Julius Randle,0.9384615384615383,1.0132978723404256,0.9320113314447594,1.047887323943662
Kyle Lowry,0.8480662983425413,,,
Buddy Hield,0.831168831168831,0.7113702623906706,,
Jrue Holiday,0.8645533141210374,0.8761609907120744,0.8784194528875381,0.9355828220858898
Shai Gilgeous-Alexander,0.8097982708933718,,,1.171830985915493
Dennis Schroder,0.805194805194805,,,
LaMarcus Aldridge,0.8942598187311177,,,
Danilo Gallinari,0.8547297297297296,,,
Kelly Oubre Jr.,0.7884057971014493,,,
Montrezl Harrell,0.9856115107913672,,,
Domantas Sabonis,0.9913793103448276,1.0333333333333334,1.0,1.072254335260116
Evan Fournier,0.7523809523809525,,,
Jamal Murray,0.820433436532508,,,0.8871951219512195
Lou Williams,0.8710801393728221,,,
Devonte' Graham,0.7806267806267806,,,
Derrick Rose,0.9500000000000002,,,
Terry Rozier,0.741279069767442,0.8347826086956521,0.8427299703264095,0.841359773371105
Stephen Curry,,1.2046783625730997,1.0289855072463767,
Joel Embiid,,1.3247588424437298,1.3609467455621305,1.3497109826589595
Zion Williamson,,1.1054216867469877,,
Kyrie Irving,,1.0716332378223496,,1.002673796791444
Paul George,,0.9881305637982194,,
Jerami Grant,,0.8672566371681417,,0.7619047619047619
Malcolm Brogdon,,0.910144927536232,,
Fred VanVleet,,0.8410958904109589,0.820580474934037,0.8419618528610353
Anthony Edwards,,0.8161993769470406,0.8571428571428572,0.938888888888889
Ja Morant,,0.8711656441717791,,1.1974921630094044
Michael Porter Jr.,,0.8849840255591054,,
Bam Adebayo,,0.973134328358209,,0.9335260115606936
Norman Powell,,0.7312500000000001,,
Jordan Clarkson,,0.906367041198502,,0.8282208588957055
John Collins,,0.9010238907849828,,
RJ Barrett,,0.7277936962750717,0.7942028985507247,0.7610619469026548
Darius Garland,,0.7311178247734138,0.8795518207282912,0.8591549295774648
Dillon Brooks,,0.7449664429530201,,
Jonas Valanciunas,,1.1060070671378093,1.0165016501650166,
Tim Hardaway Jr.,,0.7535211267605635,,
Chris Paul,,0.93312101910828,,
Karl-Anthony Towns,,,1.1077844311377247,
Dejounte Murray,,,1.1005747126436782,0.8626373626373629
Tyler Herro,,,0.8558282208588956,0.8108882521489972
Miles Bridges,,,0.8676056338028171,
LaMelo Ball,,,1.0216718266253872,
Jordan Poole,,,0.8166666666666667,0.8566666666666665
Gary Trent Jr.,,,0.6885714285714285,
Desmond Bane,,,0.8523489932885906,0.949526813880126
Christian Wood,,,0.9805194805194806,
Tyrese Maxey,,,0.7053824362606232,0.7857142857142857
Cade Cunningham,,,0.8190184049079754,
Jalen Green,,,0.6990595611285267,0.8187134502923976
Deandre Ayton,,,0.9728813559322032,
Kyle Kuzma,,,0.8383233532934131,0.8657142857142857
Keldon Johnson,,,0.7836990595611287,0.8807339449541282
Caris LeVert,,,0.7915309446254071,
Reggie Jackson,,,0.7628205128205129,
Harrison Barnes,,,0.7083333333333333,
Lauri Markkanen,,,,1.0319767441860468
Jalen Brunson,,,,0.937142857142857
Klay Thompson,,,,0.8424242424242424
Anfernee Simons,,,,0.76
Mikal Bridges,,,,0.7871148459383753
Paolo Banchero,,,,0.8609467455621301
Kevin Porter Jr.,,,,0.8367346938775511
Jaren Jackson Jr.,,,,1.0070422535211268
Franz Wagner,,,,0.7760736196319018
